code,name,description,nitRestaurant,price
50436-9023,Wynnie Boich,Mumps vaccination,458-06-8109,18.26
0904-6068,Konrad Dodgshun,Wedg resec entropion rep,303-85-0612,89.69
59779-064,Kittie Bachnic,Replace gastrostomy tube,289-80-6640,38.70
11701-066,Brit Brechin,Arthrodesis of shoulder,500-09-1797,2.42
64720-139,Cletis Dugald,Limited eye examination,588-34-3963,23.25
35356-091,Mil Skellion,Total ankle replacement,775-83-3848,47.32
98132-924,Benito Gainsburgh,Ind therap psychsex dysf,295-29-7287,22.84
0173-0848,Evvie Ruler,Lap abltn liver les/tiss,219-88-5000,59.42
50436-6650,Tabby Kilbane,Tot repair tetral fallot,677-36-9651,58.27
64117-989,Rouvin Luckey,Individ psychotherap NEC,100-93-9139,21.04
36987-2294,Clarey Metson,Pack ext auditory canal,552-94-4393,65.79
68788-0005,Chaddie Larner,Perc transmyo revascular,203-88-6383,82.82
67046-982,Yorke Kellegher,Coron vess aneurysm rep,676-50-8836,44.62
0113-0173,Woodman Frary,Clinical hearing test,120-87-6597,43.09
36987-1808,Abbott Kittley,Hemorr contrl post T & A,841-03-1102,38.74
0641-6082,Averell Volkes,Limb skin traction NEC,364-33-9300,82.88
63824-401,Bowie Wyley,Local sm bowel perfusion,886-34-6011,79.01
59779-301,Nadiya Downes,Head soft tiss x-ray NEC,875-71-8619,94.92
0113-0013,Binky Timothy,Suture anal laceration,894-58-9267,14.05
59779-013,Avrit Pratte,Decortication of lung,320-68-4604,21.15
0268-0937,Tawnya Aston,Skeletal series x-ray,637-60-0476,54.17
16714-304,Alfonse Ormrod,Laparoscopy,367-90-2797,92.54
13537-113,Yank Buxcy,Periprostatic biopsy,111-71-0227,31.72
65044-3141,Curran Dalinder,Endosc destru lg int les,734-16-7966,6.09
57664-102,Jayme Grishakov,Anal anastomosis,332-94-8041,14.22
76329-3012,Roley Paulet,Laparotomy NEC,363-63-7057,43.05
10158-001,Edan Thelwll,Lysis cortical adhesion,867-41-2147,98.54
10967-583,Darbee Crookston,Insert 1 vascular stent,592-19-3576,79.11
